Node,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Node1,105.2042,91.4138,104.5660,96.5128,99.8626,100.5407,97.0004,105.0496,99.7023,102.9163,98.5781,102.6289
Node2,98.0633,84.4658,98.8417,90.9452,95.6344,95.1001,92.5041,95.6793,95.2136,95.9384,89.4382,96.1310
Node3,99.2474,84.1395,99.5837,90.4533,96.5114,94.3858,92.7023,100.4317,94.4527,99.2159,92.7399,95.2312
Node4,105.1305,91.9179,103.5707,95.7094,102.3235,99.4843,99.1073,103.6573,99.8940,102.0157,97.8574,102.0500
Node5,104.6480,90.0843,103.6119,96.1320,100.7816,100.3423,95.8993,104.4899,99.9485,103.6506,98.5522,103.2738
Node6,113.7782,102.7777,112.6915,106.0969,109.4418,110.0999,105.6337,113.3550,109.6493,113.7791,108.8627,112.5406
Node7,105.4614,91.3568,104.6818,94.8494,101.6968,99.7546,96.2370,103.9816,99.6685,103.4117,99.3044,103.2660
Node8,106.3545,91.6969,102.1161,95.7440,99.6773,100.3971,97.4372,104.7806,100.1589,104.7352,95.9620,104.4141
Node9,108.9565,96.8965,108.2004,100.8128,103.9636,104.8433,100.8048,108.5401,104.0971,108.8014,103.4695,107.0319
Node10,99.8395,90.0515,98.5335,93.3355,97.1973,97.5114,94.2054,102.1463,98.3702,102.6677,95.5655,99.5111
Node11,101.4125,91.1530,100.4691,93.3719,97.5297,97.2847,94.5192,100.5365,96.3936,99.5253,95.3376,99.4101
Node12,103.7649,92.2339,103.3214,96.1302,101.0701,100.5464,97.3987,105.5005,98.6520,102.6050,97.9760,102.1432
Node13,84.5433,79.7636,84.8160,82.0800,84.8160,86.6653,84.8160,90.3207,89.0955,92.4060,89.4649,93.7743
Node14,105.4754,90.9925,105.4101,94.5288,100.1320,99.5826,96.6407,104.5591,99.7155,103.8718,99.9566,103.5516
Node15,106.7094,91.1427,105.7065,95.3705,100.6823,99.2651,96.7894,104.4661,99.8940,103.6271,98.9672,104.2762
Node16,106.1193,91.3827,105.5769,95.2120,100.2466,99.3672,96.0479,104.8419,100.4896,104.5081,99.5156,103.2427
Node17,107.2377,92.1009,105.1784,95.5709,99.2856,98.9798,96.9142,104.7964,100.3769,104.4259,99.0321,104.2490
Node18,105.6687,90.3951,104.8526,95.7440,100.3192,99.5788,96.2461,104.1952,99.8902,103.9599,99.1970,104.4257
Node19,105.7525,90.8958,104.1203,95.5290,100.0613,99.6771,96.5453,104.5057,100.2491,103.8796,99.7621,104.2451
Node20,105.7265,90.5988,104.8035,95.5928,100.1358,99.5826,96.6095,104.0746,99.9071,103.6271,99.1043,103.9420
Node21,105.9040,90.9217,105.2746,95.7367,100.5485,99.9190,96.4242,105.9237,100.5441,105.1444,99.0858,104.2801
Node22,105.7923,91.1962,104.7996,95.0498,99.8588,99.7395,97.0316,104.3712,99.6065,104.1302,98.6596,104.5093
Node23,106.1013,90.7456,104.7426,95.5071,99.8951,100.6522,97.0023,104.3139,100.3694,104.0813,99.0209,103.7653
