Node,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Node1,0.073822,0.072834,0.074141,0.074104,0.073057,0.073215,0.073900,0.074122,0.072786,0.072990,0.073815,0.073494
Node2,0.067933,0.068732,0.067944,0.068769,0.067644,0.068388,0.068094,0.068694,0.069213,0.067307,0.067832,0.067119
Node3,0.068045,0.069932,0.069744,0.069008,0.070047,0.069127,0.069519,0.069326,0.068501,0.068983,0.070301,0.068558
Node4,0.069182,0.071769,0.069257,0.067382,0.069482,0.067494,0.067832,0.068357,0.068207,0.068432,0.071001,0.068019
Node5,0.068544,0.069369,0.068732,0.068507,0.068394,0.068694,0.069107,0.067569,0.068432,0.069144,0.069144,0.068954
Node6,0.075593,0.079298,0.075109,0.075791,0.075026,0.076721,0.075673,0.075590,0.076761,0.077121,0.079258,0.075432
Node7,0.067944,0.072269,0.067944,0.067869,0.068994,0.070848,0.068469,0.068169,0.068882,0.070612,0.071828,0.069107
Node8,0.069294,0.071729,0.068769,0.069182,0.069107,0.068169,0.068844,0.067644,0.068469,0.067794,0.068844,0.068769
Node9,0.073847,0.075391,0.074083,0.073772,0.073968,0.073777,0.073562,0.073375,0.073116,0.073922,0.074868,0.073012
Node10,0.069369,0.069257,0.069444,0.069969,0.069519,0.068132,0.067832,0.067457,0.068994,0.069219,0.067532,0.069894
Node11,0.068357,0.069888,0.068507,0.070376,0.070151,0.067483,0.068657,0.068957,0.070307,0.070445,0.068057,0.068088
Node12,0.068882,0.068673,0.069557,0.068582,0.068432,0.068394,0.068132,0.068844,0.067719,0.067982,0.070523,0.069107
Node13,0.058298,0.058172,0.059597,0.059913,0.059977,0.062193,0.060610,0.060705,0.061782,0.062035,0.059438,0.057633
