time,success_cloudlets,pending_cloudlets,power_kW,energy_kWh
1,0,58,0.114000,0.000032
2,0,87,0.114000,0.000032
3,0,116,0.114000,0.000032
4,0,145,0.114000,0.000032
5,0,174,0.114000,0.000032
6,0,203,0.114000,0.000032
7,6,226,0.114000,0.000032
8,6,255,0.114000,0.000032
9,6,284,0.114000,0.000032
10,6,284,0.114000,0.000032
11,6,284,0.114000,0.000032
12,6,284,0.114000,0.000032
13,6,284,0.114000,0.000032
14,6,284,0.114000,0.000032
15,6,284,0.114000,0.000032
16,9,281,0.114000,0.000032
17,9,281,0.114000,0.000032
18,18,272,0.114000,0.000032
19,27,263,0.114000,0.000032
20,29,261,0.114000,0.000032
21,29,261,0.114000,0.000032
22,29,261,0.114000,0.000032
23,29,261,0.114000,0.000032
24,29,261,0.114000,0.000032
25,29,261,0.114000,0.000032
26,29,261,0.114000,0.000032
27,29,261,0.114000,0.000032
28,29,261,0.114000,0.000032
29,29,261,0.114000,0.000032
30,29,261,0.114000,0.000032
31,32,258,0.114000,0.000032
32,32,258,0.114000,0.000032
33,32,258,0.114000,0.000032
34,32,258,0.114000,0.000032
35,32,258,0.114000,0.000032
36,32,258,0.114000,0.000032
37,32,258,0.114000,0.000032
38,32,258,0.114000,0.000032
39,32,258,0.114000,0.000032
40,32,258,0.114000,0.000032
41,32,258,0.114000,0.000032
42,38,252,0.114000,0.000032
