time,success_cloudlets,pending_cloudlets,power_kW,c_power
1,0,64,0.1140,0.1140
2,0,64,0.1140,0.2280
3,0,64,0.1140,0.3420
4,0,64,0.1140,0.4560
5,0,64,0.1140,0.5700
6,64,63,0.1140,0.6840
7,64,63,0.1140,0.7980
8,64,63,0.1140,0.9120
9,64,63,0.1140,1.0260
10,64,63,0.1140,1.1400
11,64,63,0.1140,1.2540
12,127,63,0.1140,1.3680
13,127,63,0.1140,1.4820
14,127,63,0.1140,1.5960
15,127,63,0.1140,1.7100
16,127,63,0.1140,1.8240
17,127,63,0.1140,1.9380
18,190,63,0.1140,2.0520
19,190,63,0.1140,2.1660
20,190,63,0.1140,2.2800
21,190,63,0.1140,2.3940
22,190,63,0.1140,2.5080
23,190,63,0.1140,2.6220
24,253,63,0.1140,2.7360
25,253,63,0.1140,2.8500
26,253,63,0.1140,2.9640
27,253,63,0.1140,3.0780
28,253,63,0.1140,3.1920
29,253,63,0.1140,3.3060
30,316,63,0.1140,3.4200
31,316,63,0.1140,3.5340
32,316,63,0.1140,3.6480
33,316,63,0.1140,3.7620
34,316,63,0.1140,3.8760
35,316,63,0.1140,3.9900
36,379,63,0.1140,4.1040
37,379,63,0.1140,4.2180
38,379,63,0.1140,4.3320
39,379,63,0.1140,4.4460
40,379,63,0.1140,4.5600
41,379,63,0.1140,4.6740
42,379,63,0.1140,4.7880
43,442,63,0.1140,4.9020
44,442,63,0.1140,5.0160
45,442,63,0.1140,5.1300
46,442,63,0.1140,5.2440
47,442,63,0.1140,5.3580
48,442,63,0.1140,5.4720
49,442,63,0.1140,5.5860
50,505,63,0.1140,5.7000
51,505,63,0.1140,5.8140
52,505,63,0.1140,5.9280
53,505,63,0.1140,6.0420
54,505,63,0.1140,6.1560
55,505,63,0.1140,6.2700
56,505,63,0.1140,6.3840
57,568,63,0.1140,6.4980
58,568,63,0.1140,6.6120
59,568,63,0.1140,6.7260
60,568,63,0.1140,6.8400
61,568,63,0.1140,6.9540
62,568,63,0.1140,7.0680
63,568,63,0.1140,7.1820
64,631,63,0.1140,7.2960
65,631,63,0.1140,7.4100
66,631,63,0.1140,7.5240
67,631,63,0.1140,7.6380
68,631,63,0.1140,7.7520
69,631,63,0.1140,7.8660
70,631,63,0.1140,7.9800
71,694,63,0.1140,8.0940
72,694,63,0.1140,8.2080
73,694,63,0.1140,8.3220
74,694,63,0.1140,8.4360
75,694,63,0.1140,8.5500
76,694,63,0.1140,8.6640
77,757,63,0.1140,8.7780
78,757,63,0.1140,8.8920
79,757,63,0.1140,9.0060
80,757,63,0.1140,9.1200
81,757,63,0.1140,9.2340
82,757,63,0.1140,9.3480
83,820,63,0.1140,9.4620
84,820,63,0.1140,9.5760
85,820,63,0.1140,9.6900
86,820,63,0.1140,9.8040
87,820,63,0.1140,9.9180
88,820,63,0.1140,10.0320
89,820,63,0.1140,10.1460
90,883,63,0.1140,10.2600
91,883,63,0.1140,10.3740
92,883,63,0.1140,10.4880
93,883,63,0.1140,10.6020
94,883,63,0.1140,10.7160
95,883,63,0.1140,10.8300
96,883,63,0.1140,10.9440
97,946,63,0.1140,11.0580
98,946,63,0.1140,11.1720
99,946,63,0.1140,11.2860
100,946,63,0.1140,11.4000
101,946,63,0.1140,11.5140
102,946,63,0.1140,11.6280
103,946,63,0.1140,11.7420
104,1009,63,0.1140,11.8560
105,1009,63,0.1140,11.9700
106,1009,63,0.1140,12.0840
107,1009,63,0.1140,12.1980
108,1009,63,0.1140,12.3120
109,1009,63,0.1140,12.4260
110,1009,63,0.1140,12.5400
111,1072,63,0.1140,12.6540
112,1072,63,0.1140,12.7680
113,1072,63,0.1140,12.8820
114,1072,63,0.1140,12.9960
115,1072,63,0.1140,13.1100
116,1072,63,0.1140,13.2240
117,1072,63,0.1140,13.3380
118,1135,63,0.1140,13.4520
119,1135,63,0.1140,13.5660
120,1135,63,0.1140,13.6800
121,1135,63,0.1140,13.7940
122,1135,63,0.1140,13.9080
123,1135,63,0.1140,14.0220
124,1135,63,0.1140,14.1360
125,1198,63,0.1140,14.2500
126,1198,63,0.1140,14.3640
127,1198,63,0.1140,14.4780
128,1198,63,0.1140,14.5920
129,1198,63,0.1140,14.7060
130,1198,63,0.1140,14.8200
131,1261,63,0.1140,14.9340
132,1261,63,0.1140,15.0480
133,1261,63,0.1140,15.1620
134,1261,63,0.1140,15.2760
135,1261,63,0.1140,15.3900
136,1261,63,0.1140,15.5040
137,1261,63,0.1140,15.6180
138,1324,63,0.1140,15.7320
139,1324,63,0.1140,15.8460
140,1324,63,0.1140,15.9600
141,1324,63,0.1140,16.0740
142,1324,63,0.1140,16.1880
143,1324,63,0.1140,16.3020
144,1324,63,0.1140,16.4160
145,1387,63,0.1140,16.5300
146,1387,63,0.1140,16.6440
147,1387,63,0.1140,16.7580
148,1387,63,0.1140,16.8720
149,1387,63,0.1140,16.9860
150,1387,63,0.1140,17.1000
151,1387,63,0.1140,17.2140
152,1450,63,0.1140,17.3280
153,1450,63,0.1140,17.4420
154,1450,63,0.1140,17.5560
155,1450,63,0.1140,17.6700
