Tick,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9,Node10,Node11,Node12,Node13,Node14,Node15,Node16,Node17,Node18,Node19,Node20,Node21,Node22,Node23
0,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000
1,0.135000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000
2,0.135000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000
3,0.135000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000
4,0.135000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000
5,0.135000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000
6,0.135000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000
7,0.135000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000
8,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000,0.135000
9,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000
10,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000
11,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000
12,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000
13,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.145000,0.135000,0.145000,0.135000
14,0.145000,0.135000,0.135000,0.145000,0.145000,0.145000,0.135000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.135000,0.145000,0.145000,0.135000,0.145000,0.145000
15,0.145000,0.135000,0.135000,0.145000,0.145000,0.145000,0.135000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.135000,0.145000,0.145000,0.135000,0.145000,0.145000
16,0.145000,0.135000,0.135000,0.145000,0.145000,0.145000,0.135000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.135000,0.145000,0.145000,0.135000,0.145000,0.145000
17,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.135000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.145000
18,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.135000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.145000
19,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.135000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
20,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.135000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
21,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
22,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
23,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
24,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
25,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
26,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
27,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
28,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
29,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
30,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
31,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
32,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
33,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
34,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
35,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
36,0.145000,0.135000,0.135000,0.145000,0.145000,0.153000,0.145000,0.145000,0.145000,0.135000,0.135000,0.145000,0.114000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000,0.145000
