Tick,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9,Node10,Node11,Node12,Node13
0,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000,0.114000
1,0.135000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.114000,0.135000,0.114000
2,0.135000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
3,0.135000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
4,0.135000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
5,0.135000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
6,0.135000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
7,0.135000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
8,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
9,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
10,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
11,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
12,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
13,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
14,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
15,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
16,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
17,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
18,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
19,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
20,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
21,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
22,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
23,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
24,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
25,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
26,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
27,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
28,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
29,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
30,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.135000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
31,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
32,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
33,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
34,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
35,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
36,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
37,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
38,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
39,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
40,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
41,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
42,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
43,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
44,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
45,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
46,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
47,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
48,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
49,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
50,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
51,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
52,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
53,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
54,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
55,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
56,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
57,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
58,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
59,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
60,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
61,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
62,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
63,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.135000,0.145000,0.135000,0.135000,0.135000,0.114000
64,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
65,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
66,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
67,0.145000,0.135000,0.135000,0.135000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
