Tick,Success,Queue,EnergyAtTick(kW)
1,0,372,1.482000
2,0,408,1.482000
3,372,355,1.482000
4,372,373,1.482000
5,372,373,1.482000
6,372,373,1.482000
7,372,373,1.482000
8,541,325,1.482000
9,541,338,1.482000
10,541,338,1.482000
11,589,319,1.482000
12,589,319,1.482000
13,592,319,1.482000
14,592,319,1.482000
15,592,319,1.482000
16,592,319,1.482000
17,592,319,1.482000
18,592,319,1.482000
19,598,319,1.482000
20,599,319,1.482000
21,599,319,1.482000
22,599,319,1.482000
23,601,319,1.482000
24,601,319,1.482000
25,601,319,1.482000
26,601,319,1.482000
27,601,319,1.482000
28,601,319,1.482000
29,601,319,1.482000
30,607,319,1.482000
31,608,319,1.482000
32,610,319,1.482000
33,610,319,1.482000
34,610,319,1.482000
35,610,319,1.482000
36,610,319,1.482000
37,610,319,1.482000
38,610,319,1.482000
39,610,319,1.482000
40,616,319,1.482000
41,616,319,1.482000
42,617,319,1.482000
43,619,319,1.482000
44,619,319,1.482000
45,619,319,1.482000
46,619,319,1.482000
47,619,319,1.482000
48,619,319,1.482000
49,619,319,1.482000
50,619,319,1.482000
51,619,319,1.482000
52,619,319,1.482000
53,625,319,1.482000
54,625,319,1.482000
55,626,319,1.482000
56,626,319,1.482000
57,626,319,1.482000
58,628,317,1.482000
59,628,317,1.482000
60,628,317,1.482000
61,628,317,1.482000
62,628,317,1.482000
63,628,317,1.482000
64,628,317,1.482000
65,629,317,1.482000
66,635,317,1.482000
67,635,317,1.482000
68,635,317,1.482000
69,635,317,1.482000
70,635,317,1.482000
71,635,317,1.482000
72,635,317,1.482000
73,635,317,1.482000
74,635,317,1.482000
75,636,317,1.482000
76,642,317,1.482000
77,642,317,1.482000
78,642,317,1.482000
79,642,317,1.482000
80,642,317,1.482000
81,642,317,1.482000
82,642,317,1.482000
83,642,317,1.482000
84,642,317,1.482000
85,643,317,1.482000
86,649,317,1.482000
87,649,317,1.482000
88,649,317,1.482000
89,649,317,1.482000
90,649,317,1.482000
91,649,317,1.482000
92,649,317,1.482000
93,649,317,1.482000
94,649,317,1.482000
95,650,317,1.482000
96,656,317,1.482000
97,656,317,1.482000
98,656,317,1.482000
99,656,317,1.482000
100,656,317,1.482000
101,656,317,1.482000
102,656,317,1.482000
103,656,317,1.482000
104,656,317,1.482000
105,657,317,1.482000
106,663,317,1.482000
107,663,317,1.482000
108,663,317,1.482000
109,663,317,1.482000
110,663,317,1.482000
111,663,317,1.482000
112,663,317,1.482000
113,663,317,1.482000
114,663,317,1.482000
115,664,317,1.482000
116,670,317,1.482000
117,670,317,1.482000
118,670,317,1.482000
119,670,317,1.482000
120,670,317,1.482000
121,670,317,1.482000
122,670,317,1.482000
123,670,317,1.482000
124,670,317,1.482000
125,670,317,1.482000
126,670,317,1.482000
127,671,317,1.482000
128,677,317,1.482000
129,677,317,1.482000
130,677,317,1.482000
131,677,317,1.482000
132,677,317,1.482000
133,677,317,1.482000
134,678,317,1.482000
135,678,317,1.482000
136,678,317,1.482000
137,678,317,1.482000
138,684,317,1.482000
139,684,317,1.482000
140,684,317,1.482000
141,684,317,1.482000
142,684,317,1.482000
143,685,317,1.482000
144,691,317,1.482000
145,691,317,1.482000
146,692,317,1.482000
147,698,316,1.482000
148,698,316,1.482000
149,699,315,1.482000
150,704,315,1.482000
151,704,315,1.482000
152,709,315,1.482000
153,709,315,1.482000
154,714,315,1.482000
155,714,315,1.482000
156,719,315,1.482000
157,719,315,1.482000
158,724,315,1.482000
159,724,315,1.482000
160,729,315,1.482000
161,729,315,1.482000
162,734,315,1.482000
163,734,315,1.482000
164,739,315,1.482000
165,739,315,1.482000
166,744,315,1.482000
167,744,315,1.482000
168,749,315,1.482000
169,749,315,1.482000
170,754,315,1.482000
171,754,315,1.482000
172,759,315,1.482000
173,759,315,1.482000
174,764,315,1.482000
175,764,315,1.482000
176,769,314,1.482000
177,769,314,1.482000
178,773,314,1.482000
179,773,314,1.482000
180,777,314,1.482000
181,777,314,1.482000
182,781,314,1.482000
183,781,314,1.482000
184,785,313,1.482000
185,785,313,1.482000
186,788,313,1.482000
187,788,313,1.482000
188,791,313,1.482000
189,791,313,1.482000
190,794,313,1.482000
191,794,313,1.482000
192,797,313,1.482000
193,797,313,1.482000
194,800,313,1.482000
195,800,313,1.482000
196,803,313,1.482000
197,803,313,1.482000
198,806,313,1.482000
199,806,313,1.482000
200,809,313,1.482000
201,809,313,1.482000
202,812,313,1.482000
203,812,313,1.482000
204,815,313,1.482000
205,815,313,1.482000
206,818,312,1.482000
207,818,312,1.482000
208,820,312,1.482000
209,820,312,1.482000
210,822,312,1.482000
211,822,312,1.482000
212,824,312,1.482000
213,824,312,1.482000
214,826,312,1.482000
215,826,312,1.482000
216,828,312,1.482000
217,828,312,1.482000
218,830,312,1.482000
219,830,312,1.482000
220,832,312,1.482000
221,832,312,1.482000
222,834,312,1.482000
223,834,312,1.482000
224,836,312,1.482000
225,836,312,1.482000
226,838,312,1.482000
227,838,312,1.482000
228,840,312,1.482000
229,840,312,1.482000
230,842,312,1.482000
231,842,312,1.482000
232,844,312,1.482000
233,844,312,1.482000
234,846,312,1.482000
235,846,312,1.482000
236,848,312,1.482000
237,848,312,1.482000
238,850,312,1.482000
239,850,312,1.482000
240,852,312,1.482000
241,852,312,1.482000
242,854,312,1.482000
243,854,312,1.482000
244,856,312,1.482000
245,856,312,1.482000
246,858,312,1.482000
247,858,312,1.482000
248,860,312,1.482000
249,860,312,1.482000
250,862,311,1.482000
251,862,311,1.482000
252,863,311,1.482000
253,863,311,1.482000
254,864,311,1.482000
255,864,311,1.482000
256,865,311,1.482000
257,865,311,1.482000
258,866,311,1.482000
259,866,311,1.482000
260,867,311,1.482000
261,867,311,1.482000
262,868,311,1.482000
263,868,311,1.482000
264,869,311,1.482000
265,869,311,1.482000
266,870,311,1.482000
267,870,311,1.482000
268,871,311,1.482000
269,871,311,1.482000
270,872,311,1.482000
271,872,311,1.482000
272,873,311,1.482000
273,873,311,1.482000
274,874,311,1.482000
275,874,311,1.482000
276,875,311,1.482000
277,875,311,1.482000
278,876,311,1.482000
279,876,311,1.482000
280,877,311,1.482000
281,877,311,1.482000
282,878,311,1.482000
283,878,311,1.482000
284,879,311,1.482000
285,879,311,1.482000
286,880,311,1.482000
287,880,311,1.482000
288,881,311,1.482000
289,881,311,1.482000
290,882,311,1.482000
291,882,311,1.482000
292,883,311,1.482000
293,883,311,1.482000
294,884,311,1.482000
295,884,311,1.482000
296,885,310,1.482000
297,885,310,1.482000
