Node,Total_Year_kWh,Average_kWh_per_Month
Node1,1203.9756999999997,100.33130833333331
Node2,1127.9551000000001,93.99625833333334
Node3,1139.0947999999999,94.92456666666665
Node4,1202.718,100.2265
Node5,1201.4144000000001,100.11786666666667
Node6,1318.7064,109.8922
Node7,1203.67,100.30583333333334
Node8,1203.4739,100.28949166666666
Node9,1256.4179,104.70149166666666
Node10,1168.9348999999997,97.41124166666664
Node11,1166.9432,97.24526666666667
Node12,1201.3423,100.11185833333333
Node13,1042.5616,86.88013333333333
Node14,1204.4167000000002,100.36805833333335
Node15,1206.8965,100.57470833333333
Node16,1206.5505,100.54587500000001
Node17,1208.1477999999997,100.6789833333333
Node18,1204.4725,100.37270833333334
Node19,1205.2229000000002,100.43524166666668
Node20,1203.7046000000003,100.30871666666668
Node21,1209.7068,100.8089
Node22,1204.7446,100.39538333333333
Node23,1206.1970000000001,100.51641666666667
