Node,Total_Year_kWh,Average_kWh_per_Month
Node1,1207.5895,100.63245833333333
Node2,1118.771,93.23091666666666
Node3,1137.1986000000002,94.76655000000001
Node4,1130.4944,94.20786666666667
Node5,1128.3235999999997,94.02696666666664
Node6,1254.5603,104.54669166666667
Node7,1139.0317999999997,94.91931666666665
Node8,1130.8683,94.23902500000001
Node9,1213.154,101.09616666666666
Node10,1131.3580000000002,94.27983333333334
Node11,1134.728,94.56066666666668
Node12,1128.8002000000001,94.06668333333334
Node13,985.6822,82.14018333333333
