Tick,TotalEnergy(kWh),AverageEnergy(kWh)
0,2.6220000000000003,2.12130583501006
1,3.277,2.12130583501006
2,3.277,2.12130583501006
3,3.277,2.12130583501006
4,3.277,2.12130583501006
5,3.277,2.12130583501006
6,3.277,2.12130583501006
7,3.277,2.12130583501006
8,3.277,2.12130583501006
9,3.277,2.12130583501006
10,3.277,2.12130583501006
11,3.277,2.12130583501006
12,3.277,2.12130583501006
13,3.277,2.12130583501006
14,3.277,2.12130583501006
15,3.277,2.12130583501006
16,3.277,2.12130583501006
17,3.277,2.12130583501006
18,3.277,2.12130583501006
19,3.277,2.12130583501006
20,3.277,2.12130583501006
21,3.277,2.12130583501006
22,3.277,2.12130583501006
23,3.277,2.12130583501006
24,3.277,2.12130583501006
25,3.277,2.12130583501006
26,3.277,2.12130583501006
27,3.277,2.12130583501006
28,3.277,2.12130583501006
29,3.277,2.12130583501006
30,3.277,2.12130583501006
31,3.277,2.12130583501006
32,3.277,2.12130583501006
33,3.277,2.12130583501006
34,3.277,2.12130583501006
35,3.277,2.12130583501006
36,3.277,2.12130583501006
37,3.277,2.12130583501006
38,3.277,2.12130583501006
39,3.277,2.12130583501006
40,3.277,2.12130583501006
41,3.277,2.12130583501006
42,3.277,2.12130583501006
43,3.277,2.12130583501006
44,3.277,2.12130583501006
45,3.277,2.12130583501006
46,3.277,2.12130583501006
47,3.277,2.12130583501006
48,3.277,2.12130583501006
49,3.277,2.12130583501006
50,3.277,2.12130583501006
51,3.277,2.12130583501006
52,3.277,2.12130583501006
53,3.277,2.12130583501006
54,3.277,2.12130583501006
55,3.277,2.12130583501006
56,3.277,2.12130583501006
57,3.277,2.12130583501006
58,3.277,2.12130583501006
59,3.277,2.12130583501006
60,3.277,2.12130583501006
61,3.277,2.12130583501006
62,3.277,2.12130583501006
63,3.277,2.12130583501006
64,3.277,2.12130583501006
65,3.277,2.12130583501006
66,3.277,2.12130583501006
67,3.277,2.12130583501006
68,3.277,2.12130583501006
69,3.277,2.12130583501006
70,3.277,2.12130583501006
71,3.277,2.12130583501006
72,3.277,2.12130583501006
73,3.277,2.12130583501006
74,3.277,2.12130583501006
75,3.277,2.12130583501006
76,3.277,2.12130583501006
77,3.277,2.12130583501006
78,3.277,2.12130583501006
79,3.277,2.12130583501006
80,3.277,2.12130583501006
81,3.277,2.12130583501006
82,3.277,2.12130583501006
83,3.277,2.12130583501006
84,3.277,2.12130583501006
85,3.277,2.12130583501006
86,3.277,2.12130583501006
87,3.277,2.12130583501006
88,3.277,2.12130583501006
89,3.277,2.12130583501006
90,3.277,2.12130583501006
91,3.277,2.12130583501006
92,3.277,2.12130583501006
93,3.277,2.12130583501006
94,3.277,2.12130583501006
95,3.277,2.12130583501006
96,3.277,2.12130583501006
97,3.277,2.12130583501006
98,3.277,2.12130583501006
99,3.277,2.12130583501006
100,3.277,2.12130583501006
101,3.277,2.12130583501006
102,3.277,2.12130583501006
103,3.277,2.12130583501006
104,3.277,2.12130583501006
105,3.277,2.12130583501006
106,3.277,2.12130583501006
107,3.277,2.12130583501006
108,3.277,2.12130583501006
109,3.277,2.12130583501006
110,3.277,2.12130583501006
111,3.277,2.12130583501006
112,3.277,2.12130583501006
113,3.277,2.12130583501006
114,3.277,2.12130583501006
115,3.277,2.12130583501006
116,3.277,2.12130583501006
117,3.277,2.12130583501006
118,3.277,2.12130583501006
119,3.277,2.12130583501006
120,3.277,2.12130583501006
121,3.277,2.12130583501006
122,3.277,2.12130583501006
123,3.277,2.12130583501006
124,3.277,2.12130583501006
125,3.277,2.12130583501006
126,3.277,2.12130583501006
127,3.277,2.12130583501006
128,3.277,2.12130583501006
129,3.277,2.12130583501006
130,3.277,2.12130583501006
131,3.277,2.12130583501006
132,3.277,2.12130583501006
133,3.277,2.12130583501006
134,3.277,2.12130583501006
135,3.277,2.12130583501006
136,3.277,2.12130583501006
137,3.277,2.12130583501006
138,3.277,2.12130583501006
139,3.277,2.12130583501006
140,3.277,2.12130583501006
141,3.277,2.12130583501006
142,3.277,2.12130583501006
143,3.277,2.12130583501006
144,3.277,2.12130583501006
145,3.277,2.12130583501006
146,3.277,2.12130583501006
147,3.277,2.12130583501006
148,3.277,2.12130583501006
149,3.277,2.12130583501006
150,3.277,2.12130583501006
151,3.277,2.12130583501006
152,3.277,2.12130583501006
153,3.277,2.12130583501006
154,3.277,2.12130583501006
155,3.277,2.12130583501006
156,3.277,2.12130583501006
157,3.277,2.12130583501006
158,3.277,2.12130583501006
159,3.277,2.12130583501006
160,3.277,2.12130583501006
161,3.277,2.12130583501006
162,3.277,2.12130583501006
163,3.277,2.12130583501006
164,3.2560000000000002,2.12130583501006
165,3.1420000000000003,2.12130583501006
166,3.1420000000000003,2.12130583501006
167,3.1420000000000003,2.12130583501006
168,3.1420000000000003,2.12130583501006
169,3.1420000000000003,2.12130583501006
170,3.1420000000000003,2.12130583501006
171,3.1420000000000003,2.12130583501006
172,3.1420000000000003,2.12130583501006
173,3.1420000000000003,2.12130583501006
174,3.1420000000000003,2.12130583501006
175,3.1420000000000003,2.12130583501006
176,3.1420000000000003,2.12130583501006
177,3.1420000000000003,2.12130583501006
178,3.1420000000000003,2.12130583501006
179,3.1420000000000003,2.12130583501006
180,3.1420000000000003,2.12130583501006
181,3.1420000000000003,2.12130583501006
182,3.1420000000000003,2.12130583501006
183,3.1420000000000003,2.12130583501006
184,3.1420000000000003,2.12130583501006
185,3.1420000000000003,2.12130583501006
186,3.1420000000000003,2.12130583501006
187,3.1420000000000003,2.12130583501006
188,3.1420000000000003,2.12130583501006
189,3.1420000000000003,2.12130583501006
190,3.1420000000000003,2.12130583501006
191,3.1420000000000003,2.12130583501006
192,3.1420000000000003,2.12130583501006
193,3.1420000000000003,2.12130583501006
194,3.1420000000000003,2.12130583501006
195,3.1420000000000003,2.12130583501006
196,3.1420000000000003,2.12130583501006
197,3.1420000000000003,2.12130583501006
198,3.1420000000000003,2.12130583501006
199,3.1420000000000003,2.12130583501006
200,3.1420000000000003,2.12130583501006
201,3.1420000000000003,2.12130583501006
202,3.1420000000000003,2.12130583501006
203,3.0070000000000006,2.12130583501006
204,3.0070000000000006,2.12130583501006
205,3.0070000000000006,2.12130583501006
206,3.0070000000000006,2.12130583501006
207,3.0070000000000006,2.12130583501006
208,3.0070000000000006,2.12130583501006
209,3.0070000000000006,2.12130583501006
210,3.0070000000000006,2.12130583501006
211,3.0070000000000006,2.12130583501006
212,3.0070000000000006,2.12130583501006
213,3.0070000000000006,2.12130583501006
214,3.0070000000000006,2.12130583501006
215,3.0070000000000006,2.12130583501006
216,3.0070000000000006,2.12130583501006
217,3.0070000000000006,2.12130583501006
218,3.0070000000000006,2.12130583501006
219,3.0070000000000006,2.12130583501006
220,3.0070000000000006,2.12130583501006
221,3.0070000000000006,2.12130583501006
222,3.0070000000000006,2.12130583501006
223,3.0070000000000006,2.12130583501006
224,3.0070000000000006,2.12130583501006
225,3.0070000000000006,2.12130583501006
226,3.0070000000000006,2.12130583501006
227,3.0070000000000006,2.12130583501006
228,3.0070000000000006,2.12130583501006
229,3.0070000000000006,2.12130583501006
230,3.0070000000000006,2.12130583501006
231,3.0070000000000006,2.12130583501006
232,3.0070000000000006,2.12130583501006
233,3.0070000000000006,2.12130583501006
234,3.0070000000000006,2.12130583501006
235,3.0070000000000006,2.12130583501006
236,3.0070000000000006,2.12130583501006
237,3.0070000000000006,2.12130583501006
238,3.0070000000000006,2.12130583501006
239,3.0070000000000006,2.12130583501006
240,3.0070000000000006,2.12130583501006
241,3.0070000000000006,2.12130583501006
242,3.0070000000000006,2.12130583501006
243,3.0070000000000006,2.12130583501006
244,3.0070000000000006,2.12130583501006
245,3.0070000000000006,2.12130583501006
246,3.0070000000000006,2.12130583501006
247,3.0070000000000006,2.12130583501006
248,3.0070000000000006,2.12130583501006
249,3.0070000000000006,2.12130583501006
250,3.0070000000000006,2.12130583501006
251,3.0070000000000006,2.12130583501006
252,3.0070000000000006,2.12130583501006
253,3.0070000000000006,2.12130583501006
254,3.0070000000000006,2.12130583501006
255,3.0070000000000006,2.12130583501006
256,3.0070000000000006,2.12130583501006
257,3.0070000000000006,2.12130583501006
258,3.0070000000000006,2.12130583501006
259,3.0070000000000006,2.12130583501006
260,3.0070000000000006,2.12130583501006
261,3.0070000000000006,2.12130583501006
262,3.0070000000000006,2.12130583501006
263,3.0070000000000006,2.12130583501006
264,3.0070000000000006,2.12130583501006
